object,,,,,,
位置 X軸, Y軸, Z軸, 回転 X軸, Y軸, Z軸, タイプ
-9936.08,85,-6925.41,0,0,0,0
-9769.34,85,-6667.14,0,0,0,0
-9817.5,85,-6770.45,0,0,0,0
-10699.94,85,-7457.7,0,0,0,0
-10312.29,85,-7065.13,0,0,0,0
-10367.35,85,-6369.22,0,0,0,0
-9292.16,85,-5800.59,0,0,0,0
-8573.25,85,-7668.25,0,0,0,0
-9563.53,85,-7174.37,0,0,0,0
-10657.39,85,-6916.66,0,0,0,0
-9994.14,85,-6919.17,0,0,0,0
-9348.5,85,-7132.64,0,0,0,0
-9123.35,85,-7177.72,0,0,0,0
-9627.96,85,-7922.64,0,0,0,0
-9545.76,85,-7294.85,0,0,0,0
-8341.43,85,-8175.38,0,0,0,0
-9809.31,85,-7448.39,0,0,0,0
-9533.98,85,-6803.98,0,0,0,0
-9569.63,85,-7028.09,0,0,0,0
-10269.72,85,-4709.11,0,0,0,0
-9509.71,85,-3890.11,0,0,0,0
-9313.84,85,-6290.89,0,0,0,0
-10330.22,85,-5326.67,0,0,0,0
-9702.85,85,-4652.5,0,0,0,0
-10305.89,85,-5076.24,0,0,0,0
-11166.39,85,-5041.62,0,0,0,0
-9911,85,-5797.97,0,0,0,0
-9634.06,85,-5597.42,0,0,0,0
-9029.64,85,-5117.8,0,0,0,0
-10256.03,85,-5395.35,0,0,0,0
-9112.78,85,-4543.57,0,0,0,0
-10229.2,85,-4786.78,0,0,0,0
-9183.83,85,-5073.43,0,0,0,0
-10604.51,85,-4476.29,0,0,0,0
-9884.89,85,-3902.14,0,0,0,0
-9999.66,85,-5904.08,0,0,0,0
-9090.59,85,-5816.09,0,0,0,0
-9343.24,85,-5628.47,0,0,0,0
-8984.42,85,-5909.77,0,0,0,0
-8032.44,85,-5428.38,0,0,0,0
-10549.18,85,-5374.83,0,0,0,0
-9659.87,85,-4091.34,0,0,0,0
-9184.56,85,-5030.14,0,0,0,0
-9580.15,85,-5172.08,0,0,0,0
-9561.26,85,-4511.25,0,0,0,0
-8678.14,85,-4779.39,0,0,0,0
-9288.06,85,-3755.54,0,0,0,0
-10673.44,85,-4755.85,0,0,0,0
-10238.51,85,-5815.01,0,0,0,0
-10407.14,85,-4826.08,0,0,0,0
-9831.17,85,-6118.8,0,0,0,0
-10618.28,85,-5145.49,0,0,0,0
-10514.99,85,-5731.22,0,0,0,0
-10156.02,85,-5080.24,0,0,0,0
-10515.58,85,-4461.17,0,0,0,0
-9876.38,85,-4254.15,0,0,0,0
-9766.39,85,-5707.32,0,0,0,0
-9979.12,85,-4992.84,0,0,0,0
-9587.71,85,-4762.69,0,0,0,0
-9565.45,85,-4215.97,0,0,0,0
-9819.34,85,-5065.87,0,0,0,0
-9972.37,85,-6295.85,0,0,0,0
-10005.87,85,-3456.3,0,0,0,0
-9944.63,85,-4374.27,0,0,0,0
-9654.9,85,-6608.28,0,0,0,0
-10771.63,85,-6043.73,0,0,0,0
-9933.39,85,-4667.81,0,0,0,0
-10027.69,85,-3500.46,0,0,0,0
-9772.37,85,-5011.28,0,0,0,0
-9960.68,85,-4096.77,0,0,0,0
-9494.34,85,-4483.38,0,0,0,0
-9374.26,85,-3776.72,0,0,0,0
-10224.51,85,-2242.63,0,0,0,0
-9618.89,85,-1731.7,0,0,0,0
-8646.47,85,-3091.58,0,0,0,0
-9707.89,85,-3940.18,0,0,0,0
-9036.21,85,-2913.06,0,0,0,0
-10361.66,85,-2705.62,0,0,0,0
-10448.46,85,-3138.61,0,0,0,0
-9909.49,85,-3668.45,0,0,0,0
-10852.96,85,-3090.66,0,0,0,0
-9745.9,85,-1282.91,0,0,0,0
-9303.68,85,-2642.31,0,0,0,0
-9372.93,85,-2035.03,0,0,0,0
-9744.35,85,-4201.07,0,0,0,0
-9424.56,85,-1655.71,0,0,0,0
-9962.07,85,-3315.99,0,0,0,0
-8631,85,-3093.49,0,0,0,0
-10601.58,85,-2780.3,0,0,0,0
-9670.86,85,-2139.26,0,0,0,0
-10111.22,85,-3407.23,0,0,0,0
-10821.54,85,-3096.43,0,0,0,0
-9865.38,85,-3097.15,0,0,0,0
-9623.24,85,-3073.47,0,0,0,0
-9357.14,85,-2655.45,0,0,0,0
-10459.93,85,-3054.71,0,0,0,0
-9318.62,85,-1768.73,0,0,0,0
-8944.24,85,-2768.88,0,0,0,0
-9737.48,85,-4181.96,0,0,0,0
-8770.56,85,-3621.05,0,0,0,0
-9273.68,85,-2959.03,0,0,0,0
-9669.31,85,-2473.52,0,0,0,0
-10188.78,85,-3120.02,0,0,0,0
-10177.29,85,-3045.45,0,0,0,0
-9029.48,85,-2890.44,0,0,0,0
-10475.32,85,-2931.78,0,0,0,0
-8965.43,85,-3730.06,0,0,0,0
-11218.78,85,-3105.78,0,0,0,0
-10112.37,85,-2516.63,0,0,0,0
-9811.57,85,-3374.73,0,0,0,0
-9671.7,85,-2495.3,0,0,0,0
-9056.09,85,-2203.39,0,0,0,0
-9960.74,85,-316.66,0,0,0,0
-9674.03,85,-1968.09,0,0,0,0
-9589.53,85,-910.12,0,0,0,0
-9476.7,85,-1374.58,0,0,0,0
-8228.7,85,-842.25,0,0,0,0
-10225.63,85,-662.35,0,0,0,0
-8233.02,85,-1008.82,0,0,0,0
-10801.89,85,-1210.37,0,0,0,0
-9687.1,85,-1820.29,0,0,0,0
-9231.75,85,-1037.55,0,0,0,0
-9407.48,85,-718.93,0,0,0,0
-10799.68,85,-857.36,0,0,0,0
-9568.73,85,-1115.74,0,0,0,0
-9517.44,85,-802.39,0,0,0,0
-9604.09,85,-2252.98,0,0,0,0
-10129.38,85,-1244.16,0,0,0,0
-9747.14,85,-1206.75,0,0,0,0
-9391.04,85,-351.5,0,0,0,0
-9677.79,85,-301.86,0,0,0,0
-10819.12,85,-806.18,0,0,0,0
-9677.79,85,-1967.95,0,0,0,0
-10734.99,85,-105.9,0,0,0,0
-9881.15,85,-1062.31,0,0,0,0
-10318.98,85,-164.77,0,0,0,0
-9949.25,85,127.89,0,0,0,0
-9727.54,85,-57.65,0,0,0,0
-10184.34,85,-672.25,0,0,0,0
-10235.05,85,-1051.71,0,0,0,0
-11218.63,85,-1119.68,0,0,0,0
-9850.34,85,-1112.35,0,0,0,0
-9897.63,85,-1763.93,0,0,0,0
-9099.16,85,-1122.72,0,0,0,0
-8881.9,85,-924.85,0,0,0,0
-9520.54,85,-670.86,0,0,0,0
-9690.23,85,-1177.38,0,0,0,0
-10233.44,85,-1216.86,0,0,0,0
-9445.25,85,-1990.29,0,0,0,0
-9720.11,85,-436.74,0,0,0,0
-10151.13,85,-465.34,0,0,0,0
-10737.24,85,-1360.36,0,0,0,0
-8001.21,85,-1036.31,0,0,0,0
-9922.81,85,-202.49,0,0,0,0
-8684.45,85,-239.8,0,0,0,0
-9721.54,85,-901.65,0,0,0,0
-10930.27,85,-859.91,0,0,0,0
-10168.93,85,-1569.59,0,0,0,0
-9964.89,85,-139.29,0,0,0,0
-9823.82,85,3049.38,0,0,0,0
-9365.72,85,1305.71,0,0,0,0
-10350.44,85,1639.11,0,0,0,0
-9847.14,85,30.21,0,0,0,0
-9048.03,85,1197.44,0,0,0,0
-9700.39,85,1128.24,0,0,0,0
-10038.45,85,8.93,0,0,0,0
-10716.9,85,597.27,0,0,0,0
-9655.68,85,808.35,0,0,0,0
-9609.41,85,2617.26,0,0,0,0
-9850.34,85,3279.08,0,0,0,0
-10259.54,85,1264.73,0,0,0,0
-9632.36,85,1005.1,0,0,0,0
-9401.01,85,1181.9,0,0,0,0
-8519.89,85,1320.58,0,0,0,0
-10632.28,85,1770.06,0,0,0,0
-10144.39,85,2546.23,0,0,0,0
-10790.5,85,849.77,0,0,0,0
-9795.95,85,1451.24,0,0,0,0
-10030.3,85,616.55,0,0,0,0
-9657.04,85,1472.15,0,0,0,0
-10874.9,85,1366.88,0,0,0,0
-10205.38,85,1477.15,0,0,0,0
-8878.18,85,1341.18,0,0,0,0
-10145.1,85,1745.85,0,0,0,0
-9815.15,85,1493.31,0,0,0,0
-10704.61,85,957.01,0,0,0,0
-10011.26,85,1783.02,0,0,0,0
-10792.9,85,1268.67,0,0,0,0
-10822.07,85,275.91,0,0,0,0
-9244.36,85,1301.08,0,0,0,0
-10818.91,85,1515.43,0,0,0,0
-10208.94,85,2191.29,0,0,0,0
-10349.77,85,440.61,0,0,0,0
-9941.51,85,1350.71,0,0,0,0
-10043.66,85,2338.49,0,0,0,0
-9891.34,85,1208.78,0,0,0,0
-8492.07,85,1221.06,0,0,0,0
-10227.34,85,2343.96,0,0,0,0
-9955.11,85,346.1,0,0,0,0
-10031.43,85,1285.18,0,0,0,0
-10582.57,85,824.81,0,0,0,0
-9985.49,85,1072.15,0,0,0,0
-9562.19,85,2381.76,0,0,0,0
-9729.52,85,-295.64,0,0,0,0
-10065.73,85,1659.43,0,0,0,0
-9723.56,85,1116.88,0,0,0,0
-9690.47,85,1994.27,0,0,0,0
-8765.08,85,3217.28,0,0,0,0
-9840.09,85,2639.51,0,0,0,0
-9013.54,85,3605.43,0,0,0,0
-8668.44,85,3380.65,0,0,0,0
-9183.45,85,3337.24,0,0,0,0
-10027.77,85,2764.13,0,0,0,0
-10731.91,85,4479.81,0,0,0,0
-9746.03,85,2247.26,0,0,0,0
-10994.79,85,2920.17,0,0,0,0
-9852.93,85,1441.6,0,0,0,0
-9256.41,85,3426.41,0,0,0,0
-10047.07,85,4033.68,0,0,0,0
-9627.92,85,3388.15,0,0,0,0
-10280.72,85,1787.92,0,0,0,0
-9424.49,85,4652.5,0,0,0,0
-9795.09,85,4054.14,0,0,0,0
-9843.01,85,1782.49,0,0,0,0
-9602.34,85,2982.29,0,0,0,0
-10246.52,85,3087.25,0,0,0,0
-9306.51,85,3541.19,0,0,0,0
-10106.57,85,3860.09,0,0,0,0
-9237.67,85,3843.39,0,0,0,0
-11112.96,85,3541.38,0,0,0,0
-9460.7,85,5217.53,0,0,0,0
-9775.11,85,2106.3,0,0,0,0
-9540.61,85,3219.23,0,0,0,0
-9842.52,85,3007.94,0,0,0,0
-10544.33,85,3372.53,0,0,0,0
-9691.12,85,3424.43,0,0,0,0
-9811.64,85,4369.19,0,0,0,0
-9820.07,85,2571.77,0,0,0,0
-9979.55,85,3159.45,0,0,0,0
-9741.14,85,2021.1,0,0,0,0
-9465.11,85,3477.3,0,0,0,0
-10277.32,85,2685.48,0,0,0,0
-9357.26,85,3366.14,0,0,0,0
-9760.93,85,4160.61,0,0,0,0
-10933.47,85,3980.57,0,0,0,0
-10172.65,85,3392.77,0,0,0,0
-9411.94,85,3314.63,0,0,0,0
-9879.28,85,4396.24,0,0,0,0
-9485.28,85,3552.17,0,0,0,0
-10519,85,3224.49,0,0,0,0
-10047.62,85,4536.28,0,0,0,0
-9818.46,85,3774.2,0,0,0,0
-9878.06,85,3341.33,0,0,0,0
-9764.81,85,4162.64,0,0,0,0
-9130.87,85,5423.96,0,0,0,0
-9724.66,85,7050.29,0,0,0,0
-9804.32,85,7307.14,0,0,0,0
-9704.18,85,5892.69,0,0,0,0
-9304.65,85,5880.1,0,0,0,0
-9637.99,85,4498.05,0,0,0,0
-9581.08,85,5338.58,0,0,0,0
-9670.33,85,5095.91,0,0,0,0
-10320.52,85,5438.28,0,0,0,0
-10399.05,85,5864.02,0,0,0,0
-9006.93,85,5606.5,0,0,0,0
-9810.33,85,6299.82,0,0,0,0
-9536.77,85,6033.7,0,0,0,0
-9720.57,85,6183.73,0,0,0,0
-10305.18,85,5423.56,0,0,0,0
-9251.47,85,5934.9,0,0,0,0
-9476.81,85,4783.22,0,0,0,0
-10390.36,85,5425.15,0,0,0,0
-10767.78,85,5360.96,0,0,0,0
-10015.81,85,5519.36,0,0,0,0
-10029.22,85,5081.28,0,0,0,0
-11001.54,85,5756.78,0,0,0,0
-9588.91,85,4602.83,0,0,0,0
-9522.77,85,4882.08,0,0,0,0
-10127.8,85,6192.15,0,0,0,0
-9986.24,85,6707.23,0,0,0,0
-10066.74,85,5529.86,0,0,0,0
-9996.72,85,4208.53,0,0,0,0
-10127.44,85,4628.31,0,0,0,0
-9182.83,85,4971.72,0,0,0,0
-10141.58,85,4725.32,0,0,0,0
-10389.42,85,5614.79,0,0,0,0
-10148.26,85,5946.25,0,0,0,0
-10855.44,85,5715.53,0,0,0,0
-9158.43,85,6136.33,0,0,0,0
-9676.6,85,5068.66,0,0,0,0
-8893.4,85,5845.01,0,0,0,0
-9463.78,85,6367.09,0,0,0,0
-10294.33,85,5775.21,0,0,0,0
-8829.84,85,5610.73,0,0,0,0
-9379.13,85,4900.45,0,0,0,0
-10415.9,85,5928.09,0,0,0,0
-9522.36,85,5833.35,0,0,0,0
-9719.65,85,6805.25,0,0,0,0
-9663.24,85,5214.99,0,0,0,0
-9694.28,85,5307.55,0,0,0,0
-10717.32,85,5775.11,0,0,0,0
-9861.45,85,8100.45,0,0,0,0
-9792.92,85,7541.02,0,0,0,0
-10253.75,85,7689.39,0,0,0,0
-10091.29,85,7226.17,0,0,0,0
-9693.41,85,8868.5,0,0,0,0
-10629.24,85,7989.57,0,0,0,0
-9700.59,85,9215.59,0,0,0,0
-9670.41,85,9028.73,0,0,0,0
-9865.17,85,6843.52,0,0,0,0
-9664.53,85,6511.93,0,0,0,0
-10107.11,85,7409.81,0,0,0,0
-10421.3,85,7898.86,0,0,0,0
-9140.53,85,6357.09,0,0,0,0
-9688.34,85,7384.69,0,0,0,0
-9648.94,85,9106.29,0,0,0,0
-10583.09,85,6654.78,0,0,0,0
-10535.55,85,6854.14,0,0,0,0
-7795.66,85,9920.98,0,0,0,0
-6482.25,85,9083.91,0,0,0,0
-7067.46,85,10544.87,0,0,0,0
-6990.75,85,9480.08,0,0,0,0
-7899.34,85,10899.04,0,0,0,0
-5895.69,85,8661.86,0,0,0,0
-8020.76,85,10233.01,0,0,0,0
-7809.11,85,10303.43,0,0,0,0
-7550.32,85,9972.87,0,0,0,0
-7634.47,85,10581.66,0,0,0,0
-5808.46,85,8989.92,0,0,0,0
-5941.19,85,8760.26,0,0,0,0
-4479.76,85,9245.35,0,0,0,0
-5273.88,85,9085.89,0,0,0,0
-6048.65,85,8990.78,0,0,0,0
-5082.81,85,9125.8,0,0,0,0
-4821.12,85,10420.96,0,0,0,0
-5345.59,85,9057.27,0,0,0,0
-5581.46,85,9384.04,0,0,0,0
-6146.4,85,9079.7,0,0,0,0
-6073.87,85,9437.8,0,0,0,0
-5322.68,85,9429,0,0,0,0
-5525.34,85,7687.54,0,0,0,0
-5752.43,85,8763.55,0,0,0,0
-6360.69,85,9201.84,0,0,0,0
-5578.2,85,7625.6,0,0,0,0
-5685.95,85,8889.51,0,0,0,0
-5301.19,85,9879.78,0,0,0,0
-5382.09,85,10633.57,0,0,0,0
-5900.65,85,9208.03,0,0,0,0
-5762.87,85,8845.64,0,0,0,0
-6614.08,85,9497.18,0,0,0,0
-3903.18,85,8892.29,0,0,0,0
-5350.37,85,10175.21,0,0,0,0
-5557.21,85,9830.65,0,0,0,0
-5085.98,85,9258.23,0,0,0,0
-5436.24,85,8902.81,0,0,0,0
-4955.04,85,8918.5,0,0,0,0
-6513.25,85,10106.39,0,0,0,0
-5463.99,85,9512.13,0,0,0,0
-6305.81,85,10023.03,0,0,0,0
-5451.66,85,9927.39,0,0,0,0
-6586.78,85,8760.38,0,0,0,0
-5147.01,85,8698.18,0,0,0,0
-5450.92,85,7030.59,0,0,0,0
-4222.68,85,9575.88,0,0,0,0
-5448.1,85,7244.9,0,0,0,0
-5959.61,85,9025.06,0,0,0,0
-6709.94,85,9044.79,0,0,0,0
-4449.74,85,9244.48,0,0,0,0
-5653.19,85,10324.75,0,0,0,0
-4403.75,85,8969.23,0,0,0,0
-3532.45,85,8655.97,0,0,0,0
-3495.18,85,10237.5,0,0,0,0
-4027.53,85,9067.54,0,0,0,0
-3588.26,85,7605.64,0,0,0,0
-4247.88,85,9618.4,0,0,0,0
-2978.41,85,9722.39,0,0,0,0
-4690.85,85,9706.81,0,0,0,0
-1689.85,85,8631.81,0,0,0,0
-3641.39,85,9408.91,0,0,0,0
-3484.02,85,9006.46,0,0,0,0
-4438.48,85,9561.37,0,0,0,0
-4655.46,85,9423.26,0,0,0,0
-3628.39,85,9106.3,0,0,0,0
-3103.82,85,9219.17,0,0,0,0
-2742.48,85,9116.95,0,0,0,0
-3345.77,85,9363.75,0,0,0,0
-3480.66,85,9530.24,0,0,0,0
-2624.8,85,9096.41,0,0,0,0
-4317.17,85,9378.37,0,0,0,0
-3925.93,85,9636.77,0,0,0,0
-4005.27,85,8896.86,0,0,0,0
-3194.16,85,9021.2,0,0,0,0
-3919.93,85,8968.8,0,0,0,0
-4089.18,85,10383.43,0,0,0,0
-3336.95,85,10417.06,0,0,0,0
-1953.94,85,9412.18,0,0,0,0
-2115.25,85,9420.42,0,0,0,0
-3432.02,85,9686.58,0,0,0,0
-3509.26,85,7575.13,0,0,0,0
-3544.37,85,9493.01,0,0,0,0
-4509.76,85,8892.46,0,0,0,0
-3651.47,85,9448.87,0,0,0,0
-2153.47,85,8914.1,0,0,0,0
-4235.6,85,9383.42,0,0,0,0
-3014.12,85,10011.59,0,0,0,0
-3077.18,85,9600.07,0,0,0,0
-3593.46,85,9001.63,0,0,0,0
-3381.01,85,10443.69,0,0,0,0
-3414.96,85,10813.06,0,0,0,0
-3824.55,85,8672.31,0,0,0,0
-3305.18,85,8747.63,0,0,0,0
-3624.49,85,10790.96,0,0,0,0
-3720.28,85,8951.08,0,0,0,0
-4017.76,85,9478.73,0,0,0,0
-3384.7,85,10900.09,0,0,0,0
-2277.38,85,9222.57,0,0,0,0
-1462.29,85,9910.98,0,0,0,0
-1785.5,85,9554.35,0,0,0,0
-1890.96,85,10219.69,0,0,0,0
-830.12,85,9232.54,0,0,0,0
-1249.54,85,8550.49,0,0,0,0
-2853.47,85,9422.69,0,0,0,0
-1013.19,85,9388.77,0,0,0,0
-1387.07,85,9094.17,0,0,0,0
-1802.14,85,8918.18,0,0,0,0
58.98,85,9264.46,0,0,0,0
-2632.87,85,9228.3,0,0,0,0
-1154.17,85,9909.36,0,0,0,0
-1034.77,85,9583.55,0,0,0,0
-1550.18,85,8545.59,0,0,0,0
-1734.05,85,9682.83,0,0,0,0
-956.74,85,9195.2,0,0,0,0
64,85,9390.58,0,0,0,0
-1076.78,85,8580.87,0,0,0,0
-1258.58,85,10584.99,0,0,0,0
-2026.9,85,10472.4,0,0,0,0
-167.28,85,9238.82,0,0,0,0
-1513.48,85,10475.91,0,0,0,0
-2481.79,85,8685.85,0,0,0,0
-1377.72,85,10108.15,0,0,0,0
-1506.82,85,9237.47,0,0,0,0
-1099.74,85,9917.06,0,0,0,0
-1488.96,85,9686.95,0,0,0,0
-859.98,85,10642.06,0,0,0,0
111.35,85,9609.31,0,0,0,0
-1041.52,85,8944.38,0,0,0,0
-1385.48,85,7423.85,0,0,0,0
-1673.69,85,8639.71,0,0,0,0
-651.73,85,8797.42,0,0,0,0
654.92,85,9220.53,0,0,0,0
-1622.78,85,9510.3,0,0,0,0
-1544.8,85,9406.54,0,0,0,0
-1211.64,85,8785.11,0,0,0,0
-1143.87,85,9213.48,0,0,0,0
-1889.56,85,8974.58,0,0,0,0
-1423.69,85,9226.52,0,0,0,0
-924.74,85,10417.99,0,0,0,0
-1795.47,85,9161.89,0,0,0,0
-970.79,85,7499.44,0,0,0,0
-1560.5,85,10767.94,0,0,0,0
-1098.63,85,9352.9,0,0,0,0
-2907.09,85,9317.33,0,0,0,0
-1508.87,85,9040.21,0,0,0,0
-635.67,85,9666.02,0,0,0,0
1055.76,85,9419.16,0,0,0,0
288.07,85,9418.51,0,0,0,0
1283.67,85,9498.38,0,0,0,0
141.73,85,9582.65,0,0,0,0
1357.1,85,9574.33,0,0,0,0
-481.99,85,9337.64,0,0,0,0
131.56,85,9238.51,0,0,0,0
-94.48,85,9480.5,0,0,0,0
1250.56,85,9499.86,0,0,0,0
177.73,85,9509.8,0,0,0,0
1211.99,85,9581.39,0,0,0,0
2214.7,85,9296.8,0,0,0,0
-813.58,85,10108.68,0,0,0,0
732.77,85,9491.01,0,0,0,0
910.26,85,9670.75,0,0,0,0
1030.31,85,9656.62,0,0,0,0
935.45,85,9744.84,0,0,0,0
173.79,85,9476.88,0,0,0,0
618.6,85,9511.59,0,0,0,0
1558.22,85,9360.63,0,0,0,0
1182.94,85,9713.14,0,0,0,0
-615.04,85,9435.27,0,0,0,0
1902.05,85,9507.19,0,0,0,0
354.54,85,9691.17,0,0,0,0
470.01,85,9311.7,0,0,0,0
2701.13,85,9770.73,0,0,0,0
2786.48,85,9676.69,0,0,0,0
2094.97,85,9664.79,0,0,0,0
4213.15,85,9524.41,0,0,0,0
3457.39,85,9078.63,0,0,0,0
3596.88,85,9767.64,0,0,0,0
3512.98,85,9539.4,0,0,0,0
2872.74,85,9622.21,0,0,0,0
3654.13,85,9610.24,0,0,0,0
3378.01,85,9779.25,0,0,0,0
3991.57,85,9613.6,0,0,0,0
2904.55,85,9403,0,0,0,0
2428.54,85,9518.22,0,0,0,0
3469.02,85,9280.23,0,0,0,0
3422.6,85,9340.12,0,0,0,0
3244.47,85,9629.01,0,0,0,0
4286.15,85,9495.55,0,0,0,0
5413.98,85,5975.88,0,0,0,0
4906.97,85,5865.89,0,0,0,0
4989.34,85,6071.41,0,0,0,0
5358.77,85,5999.23,0,0,0,0
3798.56,85,6164.41,0,0,0,0
4918.86,85,5658.12,0,0,0,0
3138.81,85,6021.35,0,0,0,0
4837.71,85,5956.71,0,0,0,0
4521.12,85,5881.87,0,0,0,0
4106.88,85,6168.76,0,0,0,0
4694.98,85,6120.19,0,0,0,0
5189.16,85,6164.11,0,0,0,0
4398.82,85,6187.91,0,0,0,0
1448.39,85,6167,0,0,0,0
2679.32,85,6083.13,0,0,0,0
2577.13,85,6387.8,0,0,0,0
3187.29,85,6355.88,0,0,0,0
2003.61,85,5740.91,0,0,0,0
4053.49,85,5637.43,0,0,0,0
2391.91,85,5574.13,0,0,0,0
2847.52,85,5832.07,0,0,0,0
4299.2,85,6187.47,0,0,0,0
1904.85,85,6081.49,0,0,0,0
2794.85,85,6433.94,0,0,0,0
4060.07,85,5774.25,0,0,0,0
3154.32,85,6061.14,0,0,0,0
3858.85,85,6050.96,0,0,0,0
1682.72,85,6424.21,0,0,0,0
3756.93,85,6142.25,0,0,0,0
2380.19,85,5737.35,0,0,0,0
3482.42,85,5940.92,0,0,0,0
4161.62,85,6089.71,0,0,0,0
3426.53,85,5873.28,0,0,0,0
4502.07,85,6200.79,0,0,0,0
2411.73,85,6319.57,0,0,0,0
1603.46,85,6162.71,0,0,0,0
1715.76,85,6127.5,0,0,0,0
2837.89,85,5682.35,0,0,0,0
2644.45,85,5587.09,0,0,0,0
1833.12,85,6495.75,0,0,0,0
651.28,85,5983.92,0,0,0,0
2237.68,85,5685.11,0,0,0,0
722.18,85,6089.55,0,0,0,0
1516.51,85,5972.02,0,0,0,0
2152.48,85,5423.42,0,0,0,0
1645.25,85,6391.34,0,0,0,0
550.05,85,5487.57,0,0,0,0
-263.97,85,6229.16,0,0,0,0
433.01,85,6232.1,0,0,0,0
384.99,85,5539.88,0,0,0,0
1644.71,85,6706.91,0,0,0,0
378.62,85,6487.97,0,0,0,0
2280.73,85,6312.25,0,0,0,0
93.16,85,5951.6,0,0,0,0
925.66,85,6567.89,0,0,0,0
-662.92,85,6137.29,0,0,0,0
463.35,85,5635.82,0,0,0,0
1453.83,85,6348.2,0,0,0,0
33.14,85,6044.91,0,0,0,0
732.9,85,6609.06,0,0,0,0
-364.82,85,6005.31,0,0,0,0
413.05,85,6542.54,0,0,0,0
787.3,85,6241.29,0,0,0,0
-773.8,85,6179.81,0,0,0,0
710.4,85,6277.53,0,0,0,0
1019.44,85,6252.94,0,0,0,0
656.24,85,5363.02,0,0,0,0
-358.55,85,6482.73,0,0,0,0
-830.88,85,6117.07,0,0,0,0
515.88,85,5692.99,0,0,0,0
-639.02,85,6193.26,0,0,0,0
325.89,85,6430.48,0,0,0,0
684.23,85,6407.48,0,0,0,0
-876.8,85,6131.86,0,0,0,0
2047.18,85,6550.42,0,0,0,0
565.91,85,5890.14,0,0,0,0
-347.11,85,6643.18,0,0,0,0
814.25,85,5632.97,0,0,0,0
467.01,85,5831.85,0,0,0,0
682.75,85,5712.36,0,0,0,0
-415.48,85,6392.16,0,0,0,0
-1888.23,85,7111.9,0,0,0,0
-2522.94,85,6026.98,0,0,0,0
-2668.61,85,6586.96,0,0,0,0
-1937.61,85,5855.1,0,0,0,0
-292.54,85,6514.9,0,0,0,0
-1887.46,85,6791.14,0,0,0,0
-2788.15,85,6598.27,0,0,0,0
-1336.32,85,5708.95,0,0,0,0
-1307.69,85,7432.34,0,0,0,0
-1780.32,85,4786.37,0,0,0,0
-2261.13,85,5766.15,0,0,0,0
-1931.96,85,6816.92,0,0,0,0
-2654.13,85,6751.04,0,0,0,0
-1958.01,85,6312.27,0,0,0,0
-1269.64,85,6745.45,0,0,0,0
-1953.99,85,7112.74,0,0,0,0
-1349.44,85,7458.44,0,0,0,0
-2141.65,85,6453.53,0,0,0,0
-340.06,85,6580.05,0,0,0,0
-2944.8,85,7019.8,0,0,0,0
