object
位置 X軸, Y軸, Z軸, タイプ
-9288.06, 160.00, -3755.54, 0
-10673.44, 145.00, -4755.85, 0
-10238.51, 140.00, -5815.01, 0
-10407.14, 145.00, -4826.08, 0
-9831.17, 140.00, -6118.80, 0
-10618.28, 140.00, -5145.49, 0
-10514.99, 140.00, -5731.22, 0
-10156.02, 145.00, -5080.24, 0
-10515.58, 145.00, -4461.17, 0
-9876.38, 150.00, -4254.15, 0
-9766.39, 145.00, -5707.32, 0
-9979.12, 145.00, -4992.84, 0
-9587.71, 150.00, -4762.69, 0
-9565.45, 155.00, -4215.97, 0
-9819.34, 145.00, -5065.87, 0
-9972.37, 140.00, -6295.85, 0
-10005.87, 155.00, -3456.30, 0
-9944.63, 150.00, -4374.27, 0
-9654.90, 140.00, -6608.28, 0
-10771.63, 132.84, -6043.73, 0
-9933.39, 145.00, -4667.81, 0
-10027.69, 155.00, -3500.46, 0
-9772.37, 145.00, -5011.28, 0
-9960.68, 155.00, -4096.77, 0
-9494.34, 150.00, -4483.38, 0
-9374.26, 155.00, -3776.72, 0
-10224.51, 160.00, -2242.63, 0
-9618.89, 174.94, -1731.70, 0
-8646.47, 166.20, -3091.58, 0
-9707.89, 155.00, -3940.18, 0
-9036.21, 165.00, -2913.06, 0
-10361.66, 160.00, -2705.62, 0
-10448.46, 160.00, -3138.61, 0
-9909.49, 155.00, -3668.45, 0
-10852.96, 155.00, -3090.66, 0
-9745.90, 175.00, -1282.91, 0
-9303.68, 165.00, -2642.31, 0
-9372.93, 170.00, -2035.03, 0
-9744.35, 155.00, -4201.07, 0
-9424.56, 175.00, -1655.71, 0
-9962.07, 160.00, -3315.99, 0
-8631.00, 167.55, -3093.49, 0
-10601.58, 160.00, -2780.30, 0
-9670.86, 165.00, -2139.26, 0
-10111.22, 159.28, -3407.23, 0
-10821.54, 155.00, -3096.43, 0
-9865.38, 160.00, -3097.15, 0
-9623.24, 165.00, -3073.47, 0
-9357.14, 165.00, -2655.45, 0
-10459.93, 160.00, -3054.71, 0
-9318.62, 175.00, -1768.73, 0
-8944.24, 165.00, -2768.88, 0
-9737.48, 155.00, -4181.96, 0
-8770.56, 160.00, -3621.05, 0
-9273.68, 165.00, -2959.03, 0
-9669.31, 165.00, -2473.52, 0
-10188.78, 160.00, -3120.02, 0
-10177.29, 160.00, -3045.45, 0
-9029.48, 165.00, -2890.44, 0
-10475.32, 160.00, -2931.78, 0
-8965.43, 160.00, -3730.06, 0
-11218.78, 155.00, -3105.78, 0
-10112.37, 160.00, -2516.63, 0
-9811.57, 160.00, -3374.73, 0
-9671.70, 165.00, -2495.30, 0
-9056.09, 175.00, -2203.39, 0
-9960.74, 170.00, -316.66, 0
-9674.03, 165.00, -1968.09, 0
-9589.53, 176.05, -910.12, 0
-9476.70, 175.00, -1374.58, 0
-8228.70, 190.00, -842.25, 0
-10225.63, 175.00, -662.35, 0
-8233.02, 185.00, -1008.82, 0
-10801.89, 160.00, -1210.37, 0
-9687.10, 165.00, -1820.29, 0
-9231.75, 180.00, -1037.55, 0
-9407.48, 180.00, -718.93, 0
-10799.68, 160.00, -857.36, 0
-9568.73, 175.00, -1115.74, 0
-9517.44, 180.00, -802.39, 0
-9604.09, 165.00, -2252.98, 0
-10129.38, 170.00, -1244.16, 0
-9747.14, 175.00, -1206.75, 0
-9391.04, 175.00, -351.50, 0
-9677.79, 175.00, -301.86, 0
-10819.12, 160.00, -806.18, 0
-9677.79, 165.00, -1967.95, 0
-10734.99, 153.59, -105.90, 0
-9881.15, 175.00, -1062.31, 0
-10318.98, 170.00, -164.77, 0
-9949.25, 162.79, 127.89, 0
-9727.54, 175.00, -57.65, 0
-10184.34, 175.00, -672.25, 0
-10235.05, 170.00, -1051.71, 0
-11218.63, 160.00, -1119.68, 0
-9850.34, 175.00, -1112.35, 0
-9897.63, 165.00, -1763.93, 0
-9099.16, 180.00, -1122.72, 0
-8881.90, 180.00, -924.85, 0
-9520.54, 180.00, -670.86, 0
-9690.23, 175.00, -1177.38, 0
-10233.44, 169.97, -1216.86, 0
-9445.25, 170.00, -1990.29, 0
-9720.11, 176.66, -436.74, 0
-10151.13, 171.53, -465.34, 0
-10737.24, 160.00, -1360.36, 0
-8001.21, 191.25, -1036.31, 0
-9922.81, 170.00, -202.49, 0
-8684.45, 185.00, -239.80, 0
-9721.54, 175.00, -901.65, 0
-10930.27, 160.00, -859.91, 0
-10168.93, 165.00, -1569.59, 0
-9964.89, 170.00, -139.29, 0
-9823.82, 142.56, 3049.38, 0
-9365.72, 168.43, 1305.71, 0
-10350.44, 145.00, 1639.11, 0
-9847.14, 162.27, 30.21, 0
-9048.03, 180.00, 1197.44, 0
-9700.39, 167.18, 1128.24, 0
-10038.45, 160.00, 8.93, 0
-10716.90, 155.00, 597.27, 0
-9655.68, 175.00, 808.35, 0
-9609.41, 148.27, 2617.26, 0
-9850.34, 144.97, 3279.08, 0
-10259.54, 158.53, 1264.73, 0
-9632.36, 175.00, 1005.10, 0
-9401.01, 174.90, 1181.90, 0
-8519.89, 185.00, 1320.58, 0
-10632.28, 140.00, 1770.06, 0
-10144.39, 140.00, 2546.23, 0
-10790.50, 155.00, 849.77, 0
-9795.95, 160.00, 1451.24, 0
-10030.30, 165.00, 616.55, 0
-9657.04, 160.00, 1472.15, 0
-10874.90, 142.51, 1366.88, 0
-10205.38, 150.00, 1477.15, 0
-8878.18, 175.00, 1341.18, 0
-10145.10, 145.00, 1745.85, 0
-9815.15, 158.48, 1493.31, 0
-10704.61, 154.30, 957.01, 0
-10011.26, 145.00, 1783.02, 0
-10792.90, 145.71, 1268.67, 0
-10822.07, 155.38, 275.91, 0
-9244.36, 170.00, 1301.08, 0
-10818.91, 140.00, 1515.43, 0
-10208.94, 140.00, 2191.29, 0
-10349.77, 165.00, 440.61, 0
-9941.51, 165.00, 1350.71, 0
-10043.66, 140.00, 2338.49, 0
-9891.34, 165.00, 1208.78, 0
-8492.07, 187.89, 1221.06, 0
-10227.34, 135.00, 2343.96, 0
-9955.11, 165.00, 346.10, 0
-10031.43, 160.00, 1285.18, 0
-10582.57, 155.00, 824.81, 0
-9985.49, 160.00, 1072.15, 0
-9562.19, 150.00, 2381.76, 0
-9729.52, 172.48, -295.64, 0
-10065.73, 149.06, 1659.43, 0
-9723.56, 168.31, 1116.88, 0
-9690.47, 150.00, 1994.27, 0
-8765.08, 155.00, 3217.28, 0
-9840.09, 145.00, 2639.51, 0
-9013.54, 150.00, 3605.43, 0
-8668.44, 160.00, 3380.65, 0
-9183.45, 145.00, 3337.24, 0
-10027.77, 138.59, 2764.13, 0
-10731.91, 100.00, 4479.81, 0
-9746.03, 149.73, 2247.26, 0
-10994.79, 120.00, 2920.17, 0
-9852.93, 160.84, 1441.60, 0
-9256.41, 145.00, 3426.41, 0
-10047.07, 125.00, 4033.68, 0
-9627.92, 145.00, 3388.15, 0
-10280.72, 145.00, 1787.92, 0
-9424.49, 127.30, 4652.50, 0
-9795.09, 125.00, 4054.14, 0
-9843.01, 155.00, 1782.49, 0
-9602.34, 150.00, 2982.29, 0
-10246.52, 135.00, 3087.25, 0
-9306.51, 145.00, 3541.19, 0
-10106.57, 133.64, 3860.09, 0
-9237.67, 136.23, 3843.39, 0
-11112.96, 115.43, 3541.38, 0
-9460.70, 113.93, 5217.53, 0
-9775.11, 145.00, 2106.30, 0
-9540.61, 145.00, 3219.23, 0
-9842.52, 140.00, 3007.94, 0
-10544.33, 130.00, 3372.53, 0
-9691.12, 145.00, 3424.43, 0
-9811.64, 125.00, 4369.19, 0
-9820.07, 145.00, 2571.77, 0
-9979.55, 135.00, 3159.45, 0
-9741.14, 147.89, 2021.10, 0
-9465.11, 145.00, 3477.30, 0
-10277.32, 136.45, 2685.48, 0
-9357.26, 145.00, 3366.14, 0
-9760.93, 125.00, 4160.61, 0
-10933.47, 106.94, 3980.57, 0
-10172.65, 130.00, 3392.77, 0
-9411.94, 145.00, 3314.63, 0
-9879.28, 122.07, 4396.24, 0
-9485.28, 145.00, 3552.17, 0
-10519.00, 130.00, 3224.49, 0
-10047.62, 115.00, 4536.28, 0
-9818.46, 137.58, 3774.20, 0
-9878.06, 142.19, 3341.33, 0
-9764.81, 125.00, 4162.64, 0
-9130.87, 120.00, 5423.96, 0
-9724.66, 80.00, 7050.29, 0
-9804.32, 70.00, 7307.14, 0
-9704.18, 105.00, 5892.69, 0
-9304.65, 115.00, 5880.10, 0
-9637.99, 126.20, 4498.05, 0
-9581.08, 110.00, 5338.58, 0
-9670.33, 110.00, 5095.91, 0
-10320.52, 100.00, 5438.28, 0
-10399.05, 90.10, 5864.02, 0
-9006.93, 120.00, 5606.50, 0
-9810.33, 95.00, 6299.82, 0
-9536.77, 110.00, 6033.70, 0
-9720.57, 101.20, 6183.73, 0
-10305.18, 100.00, 5423.56, 0
-9251.47, 115.00, 5934.90, 0
-9476.81, 120.00, 4783.22, 0
-10390.36, 100.00, 5425.15, 0
-10767.78, 88.90, 5360.96, 0
-10015.81, 106.48, 5519.36, 0
-10029.22, 110.00, 5081.28, 0
-11001.54, 69.85, 5756.78, 0
-9588.91, 124.43, 4602.83, 0
-9522.77, 112.72, 4882.08, 0
-10127.80, 87.22, 6192.15, 0
-9986.24, 80.00, 6707.23, 0
-10066.74, 102.01, 5529.86, 0
-9996.72, 125.00, 4208.53, 0
-10127.44, 110.00, 4628.31, 0
-9182.83, 120.00, 4971.72, 0
-10141.58, 110.00, 4725.32, 0
-10389.42, 98.52, 5614.79, 0
-10148.26, 95.00, 5946.25, 0
-10855.44, 77.90, 5715.53, 0
-9158.43, 110.00, 6136.33, 0
-9676.60, 110.00, 5068.66, 0
-8893.40, 120.00, 5845.01, 0
-9463.78, 105.00, 6367.09, 0
-10294.33, 95.57, 5775.21, 0
-8829.84, 120.00, 5610.73, 0
-9379.13, 117.13, 4900.45, 0
-10415.90, 90.00, 5928.09, 0
-9522.36, 112.76, 5833.35, 0
-9719.65, 84.47, 6805.25, 0
-9663.24, 110.00, 5214.99, 0
-9694.28, 110.00, 5307.55, 0
-10717.32, 85.00, 5775.11, 0
-9861.45, 55.00, 8100.45, 0
-9792.92, 61.61, 7541.02, 0
-10253.75, 50.00, 7689.39, 0
-10091.29, 57.38, 7226.17, 0
-9693.41, 55.00, 8868.50, 0
-10629.24, 50.00, 7989.57, 0
-9700.59, 55.00, 9215.59, 0
-9670.41, 55.00, 9028.73, 0
-9865.17, 75.00, 6843.52, 0
-9664.53, 90.00, 6511.93, 0
-10107.11, 50.00, 7409.81, 0
-10421.30, 50.00, 7898.86, 0
-9140.53, 110.00, 6357.09, 0
-9688.34, 71.17, 7384.69, 0
-9648.94, 55.00, 9106.29, 0
-10583.09, 64.04, 6654.78, 0
-10535.55, 50.00, 6854.14, 0
-7795.66, 70.00, 9920.98, 0
-6482.25, 110.00, 9083.91, 0
-7067.46, 70.00, 10544.87, 0
-6990.75, 76.99, 9480.08, 0
-7899.34, 70.07, 10899.04, 0
-5895.69, 130.00, 8661.86, 0
-8020.76, 67.92, 10233.01, 0
-7809.11, 70.00, 10303.43, 0
-7550.32, 70.00, 9972.87, 0
-7634.47, 70.00, 10581.66, 0
-5808.46, 125.00, 8989.92, 0
-5941.19, 130.00, 8760.26, 0
-4479.76, 147.02, 9245.35, 0
-5273.88, 140.00, 9085.89, 0
-6048.65, 120.00, 8990.78, 0
-5082.81, 141.72, 9125.80, 0
-4821.12, 110.79, 10420.96, 0
-5345.59, 139.27, 9057.27, 0
-5581.46, 128.45, 9384.04, 0
-6146.40, 120.00, 9079.70, 0
-6073.87, 110.00, 9437.80, 0
-5322.68, 135.00, 9429.00, 0
-5525.34, 159.93, 7687.54, 0
-5752.43, 130.00, 8763.55, 0
-6360.69, 109.82, 9201.84, 0
-5578.20, 157.18, 7625.60, 0
-5685.95, 127.81, 8889.51, 0
-5301.19, 125.00, 9879.78, 0
-5382.09, 86.79, 10633.57, 0
-5900.65, 120.00, 9208.03, 0
-5762.87, 130.00, 8845.64, 0
-6614.08, 95.00, 9497.18, 0
-3903.18, 155.00, 8892.29, 0
-5350.37, 109.96, 10175.21, 0
-5557.21, 114.28, 9830.65, 0
-5085.98, 140.00, 9258.23, 0
-5436.24, 144.44, 8902.81, 0
-4955.04, 150.00, 8918.50, 0
-6513.25, 70.69, 10106.39, 0
-5463.99, 128.60, 9512.13, 0
-6305.81, 75.39, 10023.03, 0
-5451.66, 117.26, 9927.39, 0
-6586.78, 110.00, 8760.38, 0
-5147.01, 150.00, 8698.18, 0
-5450.92, 172.97, 7030.59, 0
-4222.68, 150.00, 9575.88, 0
-5448.10, 175.00, 7244.90, 0
-5959.61, 120.00, 9025.06, 0
-6709.94, 105.00, 9044.79, 0
-4449.74, 150.00, 9244.48, 0
-5653.19, 77.53, 10324.75, 0
-4403.75, 155.00, 8969.23, 0
-3532.45, 155.00, 8655.97, 0
-3495.18, 145.00, 10237.50, 0
-4027.53, 155.00, 9067.54, 0
-3588.26, 170.00, 7605.64, 0
-4247.88, 150.00, 9618.40, 0
-2978.41, 150.00, 9722.39, 0
-4690.85, 130.00, 9706.81, 0
-1689.85, 155.00, 8631.81, 0
-3641.39, 150.00, 9408.91, 0
-3484.02, 155.00, 9006.46, 0
-4438.48, 145.01, 9561.37, 0
-4655.46, 140.00, 9423.26, 0
-3628.39, 155.00, 9106.30, 0
-3103.82, 150.00, 9219.17, 0
-2742.48, 155.00, 9116.95, 0
-3345.77, 150.00, 9363.75, 0
-3480.66, 150.00, 9530.24, 0
-2624.80, 155.00, 9096.41, 0
-4317.17, 150.00, 9378.37, 0
-3925.93, 150.00, 9636.77, 0
-4005.27, 155.00, 8896.86, 0
-3194.16, 155.00, 9021.20, 0
-3919.93, 155.00, 8968.80, 0
-4089.18, 126.66, 10383.43, 0
-3336.95, 143.29, 10417.06, 0
-1953.94, 150.00, 9412.18, 0
-2115.25, 150.00, 9420.42, 0
-3432.02, 150.00, 9686.58, 0
-3509.26, 170.00, 7575.13, 0
-3544.37, 150.00, 9493.01, 0
-4509.76, 159.02, 8892.46, 0
-3651.47, 150.00, 9448.87, 0
-2153.47, 155.00, 8914.10, 0
-4235.60, 150.00, 9383.42, 0
-3014.12, 145.00, 10011.59, 0
-3077.18, 150.00, 9600.07, 0
-3593.46, 155.00, 9001.63, 0
-3381.01, 140.63, 10443.69, 0
-3414.96, 128.69, 10813.06, 0
-3824.55, 155.00, 8672.31, 0
-3305.18, 155.00, 8747.63, 0
-3624.49, 122.55, 10790.96, 0
-3720.28, 155.00, 8951.08, 0
-4017.76, 150.00, 9478.73, 0
-3384.70, 126.53, 10900.09, 0
-2277.38, 150.00, 9222.57, 0
-1462.29, 145.00, 9910.98, 0
-1785.50, 150.00, 9554.35, 0
-1890.96, 140.00, 10219.69, 0
-830.12, 150.00, 9232.54, 0
-1249.54, 155.00, 8550.49, 0
-2853.47, 150.00, 9422.69, 0
-1013.19, 150.00, 9388.77, 0
-1387.07, 150.00, 9094.17, 0
-1802.14, 155.00, 8918.18, 0
58.98, 140.00, 9264.46, 0
-2632.87, 150.00, 9228.30, 0
-1154.17, 145.00, 9909.36, 0
-1034.77, 145.12, 9583.55, 0
-1550.18, 155.00, 8545.59, 0
-1734.05, 146.72, 9682.83, 0
-956.74, 150.00, 9195.20, 0
64.00, 140.00, 9390.58, 0
-1076.78, 155.00, 8580.87, 0
-1258.58, 135.00, 10584.99, 0
-2026.90, 135.00, 10472.40, 0
-167.28, 145.00, 9238.82, 0
-1513.48, 135.00, 10475.91, 0
-2481.79, 155.00, 8685.85, 0
-1377.72, 140.00, 10108.15, 0
-1506.82, 150.00, 9237.47, 0
-1099.74, 145.00, 9917.06, 0
-1488.96, 145.00, 9686.95, 0
-859.98, 121.59, 10642.06, 0
111.35, 140.00, 9609.31, 0
-1041.52, 150.56, 8944.38, 0
-1385.48, 165.00, 7423.85, 0
-1673.69, 155.00, 8639.71, 0
-651.73, 155.00, 8797.42, 0
654.92, 135.00, 9220.53, 0
-1622.78, 150.00, 9510.30, 0
-1544.80, 150.00, 9406.54, 0
-1211.64, 155.00, 8785.11, 0
-1143.87, 150.00, 9213.48, 0
-1889.56, 155.00, 8974.58, 0
-1423.69, 150.00, 9226.52, 0
-924.74, 130.00, 10417.99, 0
-1795.47, 150.00, 9161.89, 0
-970.79, 160.00, 7499.44, 0
-1560.50, 130.00, 10767.94, 0
-1098.63, 150.00, 9352.90, 0
-2907.09, 150.00, 9317.33, 0
-1508.87, 150.98, 9040.21, 0
-635.67, 140.00, 9666.02, 0
1055.76, 125.00, 9419.16, 0
288.07, 140.00, 9418.51, 0
1283.67, 125.00, 9498.38, 0
141.73, 140.00, 9582.65, 0
1357.10, 120.00, 9574.33, 0
-481.99, 145.00, 9337.64, 0
131.56, 141.15, 9238.51, 0
-94.48, 140.00, 9480.50, 0
1250.56, 125.00, 9499.86, 0
177.73, 140.00, 9509.80, 0
1211.99, 121.86, 9581.39, 0
2214.70, 120.00, 9296.80, 0
-813.58, 135.49, 10108.68, 0
732.77, 130.24, 9491.01, 0
910.26, 125.00, 9670.75, 0
1030.31, 121.31, 9656.62, 0
935.45, 120.00, 9744.84, 0
173.79, 140.00, 9476.88, 0
618.60, 135.00, 9511.59, 0
1558.22, 125.00, 9360.63, 0
1182.94, 120.00, 9713.14, 0
-615.04, 144.48, 9435.27, 0
1902.05, 120.00, 9507.19, 0
354.54, 135.00, 9691.17, 0
470.01, 140.00, 9311.70, 0
2701.13, 115.00, 9770.73, 0
2786.48, 115.00, 9676.69, 0
2094.97, 118.52, 9664.79, 0
4213.15, 105.00, 9524.41, 0
3457.39, 115.00, 9078.63, 0
3596.88, 105.00, 9767.64, 0
3512.98, 115.00, 9539.40, 0
2872.74, 115.00, 9622.21, 0
3654.13, 105.00, 9610.24, 0
3378.01, 110.00, 9779.25, 0
3991.57, 105.00, 9613.60, 0
2904.55, 115.00, 9403.00, 0
2428.54, 115.32, 9518.22, 0
3469.02, 115.00, 9280.23, 0
3422.60, 115.00, 9340.12, 0
3244.47, 115.00, 9629.01, 0
4286.15, 105.00, 9495.55, 0
5413.98, 115.00, 5975.88, 0
4906.97, 120.00, 5865.89, 0
4989.34, 120.00, 6071.41, 0
5358.77, 115.00, 5999.23, 0
3798.56, 140.00, 6164.41, 0
4918.86, 125.42, 5658.12, 0
3138.81, 145.00, 6021.35, 0
4837.71, 125.00, 5956.71, 0
4521.12, 130.00, 5881.87, 0
4106.88, 130.00, 6168.76, 0
4694.98, 125.00, 6120.19, 0
5189.16, 115.00, 6164.11, 0
4398.82, 130.00, 6187.91, 0
1448.39, 155.00, 6167.00, 0
2679.32, 150.00, 6083.13, 0
2577.13, 145.00, 6387.80, 0
3187.29, 140.00, 6355.88, 0
2003.61, 155.00, 5740.91, 0
4053.49, 135.00, 5637.43, 0
2391.91, 153.40, 5574.13, 0
2847.52, 150.00, 5832.07, 0
4299.20, 130.00, 6187.47, 0
1904.85, 150.00, 6081.49, 0
2794.85, 145.00, 6433.94, 0
4060.07, 135.00, 5774.25, 0
3154.32, 145.00, 6061.14, 0
3858.85, 135.00, 6050.96, 0
1682.72, 150.00, 6424.21, 0
3756.93, 140.00, 6142.25, 0
2380.19, 150.00, 5737.35, 0
3482.42, 140.00, 5940.92, 0
4161.62, 130.00, 6089.71, 0
3426.53, 140.00, 5873.28, 0
4502.07, 129.71, 6200.79, 0
2411.73, 150.00, 6319.57, 0
1603.46, 153.73, 6162.71, 0
1715.76, 150.67, 6127.50, 0
2837.89, 150.00, 5682.35, 0
2644.45, 150.00, 5587.09, 0
1833.12, 150.00, 6495.75, 0
651.28, 160.00, 5983.92, 0
2237.68, 155.00, 5685.11, 0
722.18, 155.00, 6089.55, 0
1516.51, 155.00, 5972.02, 0
2152.48, 155.00, 5423.42, 0
1645.25, 150.00, 6391.34, 0
550.05, 165.00, 5487.57, 0
-263.97, 173.48, 6229.16, 0
433.01, 155.00, 6232.10, 0
384.99, 165.00, 5539.88, 0
1644.71, 150.00, 6706.91, 0
378.62, 155.00, 6487.97, 0
2280.73, 150.00, 6312.25, 0
93.16, 165.00, 5951.60, 0
925.66, 155.00, 6567.89, 0
-662.92, 175.00, 6137.29, 0
463.35, 165.00, 5635.82, 0
1453.83, 150.00, 6348.20, 0
33.14, 162.19, 6044.91, 0
732.90, 155.00, 6609.06, 0
-364.82, 175.00, 6005.31, 0
413.05, 155.00, 6542.54, 0
787.30, 155.00, 6241.29, 0
-773.80, 175.00, 6179.81, 0
710.40, 155.00, 6277.53, 0
1019.44, 155.00, 6252.94, 0
656.24, 165.00, 5363.02, 0
-358.55, 170.00, 6482.73, 0
-830.88, 175.00, 6117.07, 0
515.88, 165.00, 5692.99, 0
-639.02, 175.00, 6193.26, 0
325.89, 155.00, 6430.48, 0
684.23, 155.00, 6407.48, 0
-876.80, 175.00, 6131.86, 0
2047.18, 150.00, 6550.42, 0
565.91, 160.00, 5890.14, 0
-347.11, 165.00, 6643.18, 0
814.25, 160.00, 5632.97, 0
467.01, 160.00, 5831.85, 0
682.75, 160.00, 5712.36, 0
-415.48, 170.00, 6392.16, 0
-1888.23, 165.00, 7111.90, 0
-2522.94, 180.00, 6026.98, 0
-2668.61, 180.00, 6586.96, 0
-1937.61, 180.00, 5855.10, 0
-292.54, 165.00, 6514.90, 0
-1887.46, 175.00, 6791.14, 0
-2788.15, 180.00, 6598.27, 0
-1336.32, 175.00, 5708.95, 0
-1307.69, 165.00, 7432.34, 0
-1780.32, 190.00, 4786.37, 0
-2261.13, 180.00, 5766.15, 0
-1931.96, 175.00, 6816.92, 0
-2654.13, 180.00, 6751.04, 0
-1958.01, 175.80, 6312.27, 0
-1269.64, 170.45, 6745.45, 0
-1953.99, 165.00, 7112.74, 0
-1349.44, 165.00, 7458.44, 0
-2141.65, 180.00, 6453.53, 0
-340.06, 165.00, 6580.05, 0
-2944.80, 180.00, 7019.80, 0
-1173.19, 175.00, 6278.53, 0
-3199.38, 180.00, 6448.54, 0
-1011.22, 175.00, 6580.76, 0
-1718.39, 180.00, 5839.99, 0
-963.31, 175.00, 6410.83, 0
-1752.87, 165.00, 7454.62, 0
-1933.81, 175.00, 6748.23, 0
-687.07, 170.00, 6577.36, 0
-2703.17, 165.00, 7380.64, 0
-3135.68, 180.00, 6571.83, 0
-1370.37, 165.00, 7300.17, 0
-2222.52, 180.00, 6643.98, 0
-1457.19, 175.72, 5476.17, 0
-1462.27, 175.00, 6479.07, 0
-1450.94, 175.00, 6586.77, 0
-2393.94, 180.00, 5686.13, 0
-2733.11, 180.00, 5733.25, 0
-1843.69, 165.00, 7090.70, 0
-492.37, 170.00, 6534.04, 0
-1434.40, 165.00, 7428.43, 0
-965.76, 175.00, 5998.96, 0
-1858.87, 190.00, 5315.85, 0
-1187.91, 170.00, 6725.15, 0
-2684.76, 180.00, 7006.39, 0
-1782.61, 175.00, 6542.10, 0
-1791.87, 180.00, 5836.72, 0
-1900.94, 155.00, 8544.79, 0
-2133.37, 180.00, 5995.52, 0
-1495.84, 175.00, 6656.32, 0
-3021.87, 180.00, 6083.94, 0
-4053.03, 190.00, 5243.93, 0
-4285.91, 185.42, 5095.76, 0
-5007.29, 185.00, 5682.67, 0
-4027.07, 190.00, 5351.87, 0
-3056.91, 180.00, 6831.37, 0
-5128.87, 175.00, 7084.82, 0
-3128.09, 180.00, 5878.27, 0
-3930.47, 190.00, 5726.84, 0
-4783.51, 175.00, 6379.79, 0
-5327.81, 172.22, 6480.37, 0
-4123.93, 180.00, 7105.99, 0
-5728.58, 172.14, 5769.31, 0
-4753.61, 175.00, 6687.07, 0
-3446.42, 180.00, 7206.10, 0
-5461.69, 170.00, 6885.99, 0
-3904.55, 180.00, 6659.14, 0
